Finacial Rate,Amount in PLN,Company
Wskaźnik obsługi zadłużenia,29.93,CD Projekt
Przychody ze sprzedaży,7354297000.0,Dino
Zysk/strata ze sprzedaży,411336000.0,Dino
Pozostałe przychody operacyjne,8327000.0,Dino
Zysk/strata z działalności operacyjnej,414099000.0,Dino
Przychody finansowe,2862000.0,Dino
Zysk/strata brutto,385554000.0,Dino
zysk/strata netto udziałowców jednostki dominującej,311245000.0,Dino
Amortyzacja (noty),118161000.0,Dino
AKTYWA,12803670000.0,Dino
Aktywa trwałe,8943141000.0,Dino
Aktywa obrotowe,3860529000.0,Dino
Kapitał własny udziałowców podmiotu dominującego,7402054000.0,Dino
Kapitał podstawowy,9804000.0,Dino
Zobowiązania długoterminowe,613953000.0,Dino
Zobowiązania krótkoterminowe,4770246000.0,Dino
Przepływy operacyjne,6725000.0,Dino
Przepływy inwestycyjne,-513017000.0,Dino
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-515635000.0,Dino
Przepływy finansowe,-7506000.0,Dino
Przepływy pieniężne netto,-513798000.0,Dino
EBITDA,532260000.0,Dino
Stopa zwrotu z kapitału własnego (ROE),0.23,Dino
Stopa zwrotu z aktywów (ROA),0.13,Dino
Wskaźnik płynności bieżącej,0.81,Dino
Wskaźnik płynności szybkiej,0.15,Dino
Wskaźnik obsługi zadłużenia,19.92,Dino
Przychody ze sprzedaży,1406000000.0,Grupa Kęty
Zysk/strata ze sprzedaży,168000000.0,Grupa Kęty
Pozostałe przychody operacyjne,4000000.0,Grupa Kęty
Zysk/strata z działalności operacyjnej,170000000.0,Grupa Kęty
Przychody finansowe,4000000.0,Grupa Kęty
Zysk/strata brutto,152000000.0,Grupa Kęty
zysk/strata netto udziałowców jednostki dominującej,121000000.0,Grupa Kęty
Amortyzacja (noty),58000000.0,Grupa Kęty
AKTYWA,4360000000.0,Grupa Kęty
Aktywa trwałe,2547000000.0,Grupa Kęty
Aktywa obrotowe,1813000000.0,Grupa Kęty
Kapitał własny udziałowców podmiotu dominującego,2067000000.0,Grupa Kęty
Kapitał podstawowy,68000000.0,Grupa Kęty
Zobowiązania długoterminowe,1186000000.0,Grupa Kęty
Zobowiązania krótkoterminowe,1106000000.0,Grupa Kęty
Przepływy operacyjne,199000000.0,Grupa Kęty
Przepływy inwestycyjne,-45000000.0,Grupa Kęty
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-45000000.0,Grupa Kęty
Przepływy finansowe,-179000000.0,Grupa Kęty
Przepływy pieniężne netto,-25000000.0,Grupa Kęty
EBITDA,228000000.0,Grupa Kęty
Stopa zwrotu z kapitału własnego (ROE),0.28,Grupa Kęty
Stopa zwrotu z aktywów (ROA),0.13,Grupa Kęty
Wskaźnik płynności bieżącej,1.64,Grupa Kęty
Wskaźnik płynności szybkiej,0.85,Grupa Kęty
Wskaźnik obsługi zadłużenia,11.13,Grupa Kęty
Przychody ze sprzedaży,8942000000.0,KGHM
Zysk/strata ze sprzedaży,1128000000.0,KGHM
Pozostałe przychody operacyjne,391000000.0,KGHM
Zysk/strata z działalności operacyjnej,641000000.0,KGHM
Zysk/strata brutto,734000000.0,KGHM
zysk/strata netto udziałowców jednostki dominującej,330000000.0,KGHM
Amortyzacja (noty),458000000.0,KGHM
AKTYWA,54138000000.0,KGHM
Aktywa trwałe,42110000000.0,KGHM
Aktywa obrotowe,12028000000.0,KGHM
Kapitał własny udziałowców podmiotu dominującego,31344000000.0,KGHM
Kapitał podstawowy,2000000000.0,KGHM
Zobowiązania długoterminowe,11862000000.0,KGHM
Zobowiązania krótkoterminowe,10865000000.0,KGHM
Przepływy operacyjne,1403000000.0,KGHM
Przepływy inwestycyjne,-1319000000.0,KGHM
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-1440000000.0,KGHM
Przepływy finansowe,35000000.0,KGHM
Przepływy pieniężne netto,119000000.0,KGHM
EBITDA,1099000000.0,KGHM
Stopa zwrotu z kapitału własnego (ROE),0.09,KGHM
Stopa zwrotu z aktywów (ROA),0.05,KGHM
Wskaźnik płynności bieżącej,1.11,KGHM
Wskaźnik płynności szybkiej,0.34,KGHM
Wskaźnik obsługi zadłużenia,25.66,KGHM
Przychody ze sprzedaży,605189000.0,Kruk
Zysk/strata ze sprzedaży,221269000.0,Kruk
Pozostałe przychody operacyjne,6015000.0,Kruk
Zysk/strata z działalności operacyjnej,393417000.0,Kruk
Przychody finansowe,274000.0,Kruk
Zysk/strata brutto,280745000.0,Kruk
zysk/strata netto udziałowców jednostki dominującej,251625000.0,Kruk
Amortyzacja (noty),15715000.0,Kruk
AKTYWA,11652331000.0,Kruk
Aktywa trwałe,7974758000.0,Kruk
Aktywa obrotowe,3677573000.0,Kruk
Kapitał własny udziałowców podmiotu dominującego,4778672000.0,Kruk
Kapitał podstawowy,19396000.0,Kruk
Zobowiązania długoterminowe,6319326000.0,Kruk
Zobowiązania krótkoterminowe,554577000.0,Kruk
Przepływy operacyjne,445227000.0,Kruk
Przepływy inwestycyjne,-22386000.0,Kruk
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-22984000.0,Kruk
Przepływy finansowe,-408688000.0,Kruk
Przepływy pieniężne netto,14153000.0,Kruk
EBITDA,409132000.0,Kruk
Stopa zwrotu z kapitału własnego (ROE),0.22,Kruk
Stopa zwrotu z aktywów (ROA),0.09,Kruk
Wskaźnik płynności bieżącej,6.63,Kruk
Wskaźnik płynności szybkiej,6.61,Kruk
Wskaźnik obsługi zadłużenia,3.43,Kruk
Przychody ze sprzedaży,566900000.0,LPP
Zysk/strata ze sprzedaży,3200000.0,LPP
Pozostałe przychody operacyjne,1800000.0,LPP
Zysk/strata z działalności operacyjnej,3100000.0,LPP
Przychody finansowe,3200000.0,LPP
Zysk/strata brutto,-4000000.0,LPP
zysk/strata netto udziałowców jednostki dominującej,-6700000.0,LPP
Amortyzacja (noty),15300000.0,LPP
AKTYWA,1919200000.0,LPP
Aktywa trwałe,822000000.0,LPP
Aktywa obrotowe,1097200000.0,LPP
Kapitał własny udziałowców podmiotu dominującego,1034300000.0,LPP
Kapitał podstawowy,15600000.0,LPP
Zobowiązania długoterminowe,123500000.0,LPP
Zobowiązania krótkoterminowe,761400000.0,LPP
Przepływy operacyjne,-26000000.0,LPP
Przepływy inwestycyjne,-5300000.0,LPP
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-10200000.0,LPP
Przepływy finansowe,2700000.0,LPP
Przepływy pieniężne netto,-28600000.0,LPP
EBITDA,18400000.0,LPP
Stopa zwrotu z kapitału własnego (ROE),0.0,LPP
Stopa zwrotu z aktywów (ROA),0.0,LPP
Wskaźnik płynności bieżącej,1.44,LPP
Wskaźnik płynności szybkiej,0.72,LPP
Wskaźnik obsługi zadłużenia,2.63,LPP
Przychody ze sprzedaży,4541874000.0,mBank
Zysk/strata ze sprzedaży,1345654000.0,mBank
Pozostałe przychody operacyjne,106221000.0,mBank
Zysk/strata z działalności operacyjnej,1176583000.0,mBank
Zysk/strata brutto,989460000.0,mBank
zysk/strata netto udziałowców jednostki dominującej,705671000.0,mBank
Amortyzacja (noty),148374000.0,mBank
AKTYWA,246067967000.0,mBank
Kapitał własny udziałowców podmiotu dominującego,17048737000.0,mBank
Kapitał podstawowy,169988000.0,mBank
Przepływy operacyjne,-17688447000.0,mBank
Przepływy inwestycyjne,-180515000.0,mBank
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-201896000.0,mBank
Przepływy finansowe,-2089880000.0,mBank
Przepływy pieniężne netto,-19958842000.0,mBank
EBITDA,1324957000.0,mBank
Stopa zwrotu z kapitału własnego (ROE),0.17,mBank
Stopa zwrotu z aktywów (ROA),0.01,mBank
Przychody ze sprzedaży,3153000000.0,Orange
Zysk/strata ze sprzedaży,259000000.0,Orange
Pozostałe przychody operacyjne,214000000.0,Orange
Zysk/strata z działalności operacyjnej,312000000.0,Orange
Przychody finansowe,21000000.0,Orange
Zysk/strata brutto,232000000.0,Orange
zysk/strata netto udziałowców jednostki dominującej,191000000.0,Orange
Amortyzacja (noty),654000000.0,Orange
AKTYWA,26488000000.0,Orange
Aktywa trwałe,22494000000.0,Orange
Aktywa obrotowe,3994000000.0,Orange
Kapitał własny udziałowców podmiotu dominującego,13780000000.0,Orange
Kapitał podstawowy,3937000000.0,Orange
Zobowiązania długoterminowe,8361000000.0,Orange
Zobowiązania krótkoterminowe,4345000000.0,Orange
Przepływy operacyjne,729000000.0,Orange
Przepływy inwestycyjne,-906000000.0,Orange
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-667000000.0,Orange
Przepływy finansowe,154000000.0,Orange
Przepływy pieniężne netto,-23000000.0,Orange
EBITDA,966000000.0,Orange
Stopa zwrotu z kapitału własnego (ROE),0.06,Orange
Stopa zwrotu z aktywów (ROA),0.03,Orange
Wskaźnik płynności bieżącej,0.92,Orange
Wskaźnik płynności szybkiej,0.85,Orange
Wskaźnik obsługi zadłużenia,9.91,Orange
Przychody ze sprzedaży,73535000000.0,Orlen
Zysk/strata ze sprzedaży,7839000000.0,Orlen
Pozostałe przychody operacyjne,1245000000.0,Orlen
Zysk/strata z działalności operacyjnej,6820000000.0,Orlen
Przychody finansowe,307000000.0,Orlen
Zysk/strata brutto,6618000000.0,Orlen
zysk/strata netto udziałowców jednostki dominującej,4279000000.0,Orlen
Amortyzacja (noty),3347000000.0,Orlen
AKTYWA,260752000000.0,Orlen
Aktywa trwałe,186975000000.0,Orlen
Aktywa obrotowe,73669000000.0,Orlen
Kapitał własny udziałowców podmiotu dominującego,149639000000.0,Orlen
Kapitał podstawowy,1974000000.0,Orlen
Zobowiązania długoterminowe,50542000000.0,Orlen
Zobowiązania krótkoterminowe,59545000000.0,Orlen
Przepływy operacyjne,15742000000.0,Orlen
Przepływy inwestycyjne,-6786000000.0,Orlen
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-6801000000.0,Orlen
Przepływy finansowe,-233000000.0,Orlen
Przepływy pieniężne netto,8723000000.0,Orlen
EBITDA,10167000000.0,Orlen
Stopa zwrotu z kapitału własnego (ROE),0.06,Orlen
Stopa zwrotu z aktywów (ROA),0.04,Orlen
Wskaźnik płynności bieżącej,1.24,Orlen
Wskaźnik płynności szybkiej,0.96,Orlen
Wskaźnik obsługi zadłużenia,17.27,Orlen
Przychody ze sprzedaży,5944000000.0,Pekao
Zysk/strata ze sprzedaży,2554000000.0,Pekao
Pozostałe przychody operacyjne,56000000.0,Pekao
Zysk/strata z działalności operacyjnej,2411000000.0,Pekao
Zysk/strata brutto,2193000000.0,Pekao
zysk/strata netto udziałowców jednostki dominującej,1685000000.0,Pekao
Amortyzacja (noty),187000000.0,Pekao
AKTYWA,333313000000.0,Pekao
Kapitał własny udziałowców podmiotu dominującego,33976000000.0,Pekao
Kapitał podstawowy,262000000.0,Pekao
Przepływy operacyjne,1745000000.0,Pekao
Przepływy inwestycyjne,2840000000.0,Pekao
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-130000000.0,Pekao
Przepływy finansowe,-1624000000.0,Pekao
Przepływy pieniężne netto,2961000000.0,Pekao
EBITDA,2598000000.0,Pekao
Stopa zwrotu z kapitału własnego (ROE),0.21,Pekao
Stopa zwrotu z aktywów (ROA),0.02,Pekao
Przychody ze sprzedaży,3338333000.0,Pepco
Zysk/strata ze sprzedaży,161216000.0,Pepco
Zysk/strata z działalności operacyjnej,-79214000.0,Pepco
Przychody finansowe,9751000.0,Pepco
Zysk/strata brutto,-129560000.0,Pepco
zysk/strata netto udziałowców jednostki dominującej,-151447000.0,Pepco
Amortyzacja (noty),531320000.0,Pepco
AKTYWA,3534065000.0,Pepco
Aktywa trwałe,1958534000.0,Pepco
Aktywa obrotowe,1575531000.0,Pepco
